"","City","FarmType","Farm","IOClass1","IOClass2","OtherName","CropsConcerned","UsedInLCA","Harvested","HarvestUnit","HarvestSubsetsUnit","SalesUnit","UnitPrice"
"1","Paris","Mixed model","BG","Crop","Chamomile","","Chamomile","Yes",1.44,"Kilogram","kg","EUR",595.45
"2","Paris","Mixed model","BG","Crop","Other (edible flowers)","Flowers","Other (edible flowers)","Yes",0.285,"Bunch","kg","EUR",333.33
"3","Hertford","Urban Collective Garden","GY","Crop","Other (edible flowers)","Pansy flowers","Other (edible flowers)","Yes",0.1,"Kilogram","kg","GBP",333
"4","London","Urban Collective Garden","HS","Crop","Nasturtium","Nasturtium","Nasturtium","Yes",0.506,"Kilogram","kg","GBP",333
"5","London","Urban Farm","YM","Crop","Other (edible flowers)","Small flowers","Other (edible flowers)","Yes",4.207,"Kilogram","kg","GBP",333
"6","London","Urban Farm","HG","Crop","Other (edible flowers)","Flowers - edible","Other (edible flowers)","Yes",0.589,"Kilogram","kg","GBP",333
"7","London","Urban Collective Garden","AF","Crop","Other (edible flowers)","Edible flowers","Other (edible flowers)","No",0.066,"Kilogram","kg","GBP",333
"8","Aubervilliers","Urban Farm","NT","Crop","Other (edible flowers)","Edible flower","Other (edible flowers)","Yes",2.755,"Piece","kg","EUR",167
"9","Paris","Mixed model","BG","Crop","Yarrow","","Yarrow","Yes",0,"Kilogram","kg","EUR",167
"10","Paris","Mixed model","BG","Crop","Yarrow","","Yarrow","Yes",0,"Kilogram","kg","EUR",167
"11","Paris","Mixed model","UZ","Crop","Other (edible flowers)","Edible flowers","Other (edible flowers)","Yes",0,"Kilogram","kg","EUR",167
"12","Paris","Mixed model","BG","Crop","Other","Cotton lavender","Other","Yes",0.085,"Kilogram","kg","EUR",151.67
"13","Paris","Mixed model","BG","Crop","Elder flower","Elderflower","Elder flower","Yes",0.17,"Kilogram","kg","EUR",151.67
"14","Paris","Mixed model","BG","Crop","Other (edible flowers)","Helychrisum","Other (edible flowers)","Yes",0.07,"Kilogram","kg","EUR",151.67
"15","Paris","Mixed model","BG","Crop","Hyssop","Hyssop","Hyssop","Yes",0.47,"Kilogram","kg","EUR",151.67
"16","Paris","Mixed model","BG","Crop","Lavender","Lavender","Lavender","Yes",0.111,"Kilogram","kg","EUR",151.67
"17","Paris","Mixed model","UZ","Crop","Hyssop","Hyssop","Hyssop","Yes",2.707,"Kilogram","kg","EUR",151.67
"18","Paris","Mixed model","UZ","Crop","Verbena","Verbena","Verbena","Yes",0.011,"Kilogram","kg","EUR",151.67
"19","Paris","Mixed model","BG","Crop","Other (edible flowers)","Edible flowers","Other (edible flowers)","Yes",0.025,"Kilogram","kg","EUR",140
"20","Nantes","Urban Individual Garden","ALFR6","Crop","Basil","","Basil","Yes",0.1,"Bunch","kg","EUR",139.4
