"","City","Country","UsedInLCA","SizeOfProductionSite","AreaInCultivation_m2","AreaInFoodProduction_m2","TotalSizeOfAllotmentComplex","NumberOfAllotments","PercentPermeable","SolarPanels_bin","BiodiversitySupport_types","SurroundingLandUses","PreviousLandUse","OrgPrimaryGoal","OrgSecondaryGoal","OrgTertiaryGoal","WaterSources","WaterUse2019_L","Water_MunicipalPotable_2019_L","Water_MunicipalNonPotable_2019_L","Water_Groundwater_2019_L","Water_Rainwater_2019_L","Water_MultipleSources_2019_L","Water_OtherSource_2019_L","WaterUse_GWP_2019","WaterUse_EmbodiedEnergy_2019","FarmType","Farm"
"1","New York","US","Yes",4511,1098,1098,NA,NA,"100%","No","Trees,Uncultivated landscapes","Residential,Commercial,Urban green area","Other","Job training","Environmental remediation","Food production","Municipal Supply,Rainwater",100422,100422,0,0,0,0,0,82.312499052,940.22156151,"Urban Collective Garden","FU"
"2","London","GB","Yes",372,144,144,NA,NA,"93%","Yes","","Commercial,""Transportation (roads, railways)""","Other","Community cohesion and development","Environmental remediation","Food production","Municipal Supply",23436,23436,0,0,0,0,0,19.209692376,219.42435438,"Urban Collective Garden","ZJ"
"3","London","GB","Yes",318,100,100,NA,NA,"100%","No","","Residential,Commercial","Residential","Food production","Community cohesion and development","Education","Municipal Supply",48913,0,48913,0,0,0,0,40.092323058,457.957989665,"Urban Collective Garden","HS"
"4","Bochum","DE","Yes",441,358,131,44000,87,"81%","No","Bird house,Native plantings,Flower meadow,Bird feeder","Residential","Agricultural land","Education","Environmental remediation","Community cohesion and development","Municipal Supply",1594,471,0,0,1123,0,0,0.386062686,4.409834055,"Urban Individual Garden","JM"
"5","Bochum","DE","Yes",855,742,519,50230,100,"88%","No","Bird house,Wetland,Native plantings,""Shelter for pollinators (wild bees, moths, butterflies, etc.)"",Other","Industrial,""Transportation (roads, railways)"",Forest","Industrial","Education","Environmental remediation","Community cohesion and development","Municipal Supply",21581,13944,0,0,7637,0,0,11.429422704,130.55355852,"Urban Individual Garden","RO"
"6","Dortmund","DE","Yes",400,316,100,27450,88,"79%","No","Bird feeder,Bird house,Wetland,Flower meadow","Commercial,Residential,""Transportation (roads, railways)""","","Education","Environmental remediation","Community cohesion and development","Municipal Supply",6975,4260,0,0,2715,0,0,3.49177716,39.8851233,"Urban Individual Garden","YQ"
"7","Dortmund","DE","Yes",290,219,105,27450,88,"76%","No","Bird feeder,Bird house,Wetland,Native plantings,Flower meadow,""Shelter for pollinators (wild bees, moths, butterflies, etc.)""","Commercial,Residential,""Transportation (roads, railways)""","","Education","Environmental remediation","Community cohesion and development","Municipal Supply",5930,2040,0,0,3890,0,0,1.67211864,19.0999182,"Urban Individual Garden","PV"
"8","Lünen","DE","Yes",851,768,266,2500,1,"90%","No","Bird house,Wetland,Native plantings,""Shelter for pollinators (wild bees, moths, butterflies, etc.)"",Other","Residential,Urban green area","Industrial","Education","Environmental remediation","Community cohesion and development","Municipal Supply",31564,27990,0,0,3574,0,0,22.94245134,262.06211295,"Urban Individual Garden","AZ"
"9","Münster","DE","Yes",520,435,126,39000,89,"84%","No","""Shelter for pollinators (wild bees, moths, butterflies, etc.)"",Flower meadow,Other","""Transportation (roads, railways)"",Urban green area,Agriculture","Agricultural land","Education","Environmental remediation","Community cohesion and development","Municipal Supply",24421,23201,0,60,1160,0,0,19.1533833959026,217.754758705,"Urban Individual Garden","UD"
"10","Münster","DE","Yes",550,472,197,8000,15,"86%","No","""Shelter for pollinators (wild bees, moths, butterflies, etc.)"",Flower meadow,Bird house,Native plantings","Residential,Urban green area,Water","Agricultural land","Education","Environmental remediation","Community cohesion and development","Municipal Supply",6910,0,0,6910,0,0,0,15.6986596937782,61.11204,"Urban Individual Garden","XZ"
"11","Münster","DE","Yes",540,476,140,39000,89,"88%","No","""Shelter for pollinators (wild bees, moths, butterflies, etc.)"",Bird feeder,Bird house,Native plantings,Other","""Transportation (roads, railways)"",Water,Agriculture","Agricultural land","Education","Environmental remediation","Community cohesion and development","Well",5090,2,0,4787,301,0,0,10.8771073427259,42.35495341,"Urban Individual Garden","NE"
"12","Münster","DE","Yes",422.5,357,183,12960,28,"84%","No","""Shelter for pollinators (wild bees, moths, butterflies, etc.)"",Bird feeder,Bird house,Wetland,Flower meadow,Other","Residential,Urban green area,Other,School","Agricultural land","Education","Environmental remediation","Community cohesion and development","Municipal Supply",5563,26,0,4645,892,0,0,10.5741730059565,41.32381033,"Urban Individual Garden","VR"
"13","Münster","DE","Yes",700,636,180,39000,89,"94%","No","Bird house,Native plantings,Other","""Transportation (roads, railways)"",Agriculture","Agricultural land","Education","Environmental remediation","Community cohesion and development","Well",20476,0,0,20476,0,0,0,46.518922704747,181.089744,"Urban Individual Garden","LO"
"14","Münster","DE","Yes",400,328,125,18486,39,"82%","No","Bird house,Native plantings,""Shelter for pollinators (wild bees, moths, butterflies, etc.)"",Other","Residential,""Transportation (roads, railways)"",Other","Agricultural land","Education","Environmental remediation","Community cohesion and development","Municipal Supply",2345,1620,0,0,725,0,0,1.32785892,15.1675821,"Urban Individual Garden","AS"
