"","City","Country","IOClass1","IOClass2","IODescription","IOSpecific","Source","CropsConcerned","IOLifeTime","Count","AreaOfBase","Material1","Material1Description","AmountMaterial1","UnitsMaterial1","Material2","Material2Description","AmountMaterial2","UnitsMaterial2","Material3","Material3Description","AmountMaterial3","UnitsMaterial3","Material4","Material4Description","AmountMaterial4","UnitsMaterial4","Material5","Material5Description","AmountMaterial5","UnitsMaterial5","Material6","Material6Description","AmountMaterial6","UnitsMaterial6","UnknownMaterial","UsedInLCA","MeasurementMethod","RaisedBedMaterialBased","SoilOM","SoilpH","SoilN","SoilP","SoilK","SoilMg","SoilTexture","SoilPAH","SoilPb","FoodProductionArea","AssociatedProducts","AssociatedInfra","Allocation.to.food.production...JKH.Formula","Conservative.allocation.to.food.production...JH","Material1ReclaimedOrRecycled","Material2ReclaimedOrRecycled","Material3ReclaimedOrRecycled","Material4ReclaimedOrRecycled","Material5ReclaimedOrRecycled","Material6ReclaimedOrRecycled","FarmType","Farm"
"1","New York","US","Infrastructure","Bench","","","Reused","",NA,1,2.29,"Wood (new)","",0.0995,"m3","Concrete","",0.1475,"m3","","",NA,"","","",NA,"","","",NA,"","",NA,NA,"","","Yes","Field Measurement","Null","",NA,NA,NA,NA,NA,"",NA,NA,1098,"","Bench","5%","0%","New","New","New","New","New","New","Urban Collective Garden","FU"
"2","New York","US","Infrastructure","Compost Bins","","","New","",NA,1,6.27,"Wood (new)","",1.679,"m3","Steel","chicken wire",15.88,"m2","","",NA,"","","",NA,"","","",NA,"","",NA,NA,"","","Yes","Estimation","Null","",NA,NA,NA,NA,NA,"",NA,NA,1098,"","Compost Bins","100%","100%","New","New","New","New","New","New","Urban Collective Garden","FU"
"3","New York","US","Infrastructure","Decks","","","New","",NA,1,37.16,"Wood (new)","",2.5021,"m3","Concrete","Cinderblocks",0.7595,"m3","","",NA,"","","",NA,"","","",NA,"","",NA,NA,"","","Yes","Field Measurement","Null","",NA,NA,NA,NA,NA,"",NA,NA,1098,"","Decks","65%","0%","New","New","New","New","New","New","Urban Collective Garden","FU"
"4","New York","US","Infrastructure","Farm Stand","","","New","",NA,1,NA,"Wood (new)","",0.74,"m3","","",NA,"","","",NA,"","","",NA,"","","",NA,"","",NA,NA,"","","Yes","Estimation","Null","",NA,NA,NA,NA,NA,"",NA,NA,1098,"","Farm Stand","100%","0%","New","New","New","New","New","New","Urban Collective Garden","FU"
"5","New York","US","Infrastructure","Fence","","","New","",NA,1,NA,"Wood (new)","",0.3907,"m3","Steel","Misc. Welded Wire",43.7341,"m2","","",NA,"","","",NA,"","","",NA,"","",NA,NA,"","","Yes","Field Measurement","Null","",NA,NA,NA,NA,NA,"",NA,NA,1098,"","Fence","100%","100%","New","New","New","New","New","New","Urban Collective Garden","FU"
"6","New York","US","Infrastructure","Greenhouses","","similar to https://www.gothicarchgreenhouses.com/juliana-junior.html","New","",NA,1,10.03,"Polycarbonate","6mm twinwall polycarbonate",0.31,"m3","","",NA,"","","",NA,"","","",NA,"","","",NA,"","",NA,NA,"","","Yes","Product Specifications,Estimation","Null","",NA,NA,NA,NA,NA,"",NA,NA,1098,"","Greenhouses","100%","100%","New","New","New","New","New","New","Urban Collective Garden","FU"
"7","New York","US","Infrastructure","Hose","","Flexon LAW58100V2","New","",NA,6,NA,"PVC (polyvinyl chloride)","",15.24,"m","","",NA,"","","",NA,"","","",NA,"","","",NA,"","",NA,NA,"","","Yes","","","",NA,NA,NA,NA,NA,"",NA,NA,1098,"","Hose","100%","100%","New","New","New","New","New","New","Urban Collective Garden","FU"
"8","New York","US","Infrastructure","Irrigation pipes","","","New","",NA,1,NA,"PVC (polyvinyl chloride)","",0.031,"m3","Other ","Brass",2.1296,"kg","","",NA,"","","",NA,"","","",NA,"","",NA,NA,"","","Yes","Field Measurement,Product Specifications","Null","",NA,NA,NA,NA,NA,"",NA,NA,1098,"","Irrigation pipes","100%","100%","New","New","New","New","New","New","Urban Collective Garden","FU"
"9","New York","US","Infrastructure","Other","Shipping Container Shelving","","New","",NA,1,5.16,"Wood (new)","",0.6673,"m3","","",NA,"","","",NA,"","","",NA,"","","",NA,"","",NA,NA,"","","Yes","Field Measurement","Null","",NA,NA,NA,NA,NA,"",NA,NA,1098,"","Other","100%","100%","New","New","New","New","New","New","Urban Collective Garden","FU"
"10","New York","US","Infrastructure","Pathway","","","New","",NA,1,NA,"Natural stone","decomposed granite",165.832,"m2","Steel","",3.252,"m3","","",NA,"","","",NA,"","","",NA,"","",NA,NA,"","","Yes","Field Measurement","Null","",NA,NA,NA,NA,NA,"",NA,NA,1098,"","Pathway","65%","0%","New","New","New","New","New","New","Urban Collective Garden","FU"
"11","New York","US","Infrastructure","Pavement","","Cambridge Sherwood Ledgestone","New","",NA,1,23.78,"Concrete","",2.4164,"m3","Steel","Border Concepts Border Line Steel Edging",0.2207,"m3","","",NA,"","","",NA,"","","",NA,"","",NA,NA,"","","Yes","Field Measurement,Product Specifications","Null","",NA,NA,NA,NA,NA,"",NA,NA,1098,"","Pavement","65%","0%","New","New","New","New","New","New","Urban Collective Garden","FU"
"12","New York","US","Infrastructure","Pergola","","","New","",NA,1,15.05,"Wood (new)","",0.3489,"m3","","",NA,"","","",NA,"","","",NA,"","","",NA,"","",NA,NA,"","","Yes","Field Measurement","Null","",NA,NA,NA,NA,NA,"",NA,NA,1098,"","Pergola","65%","0%","New","New","New","New","New","New","Urban Collective Garden","FU"
"13","New York","US","Infrastructure","Raised Beds","","","New","",7,1,74.14,"Wood (new)","",0.7074,"m3","Top soil","",13.1821,"m3","Compost (industrial)","",13.1821,"m3","","",NA,"","","",NA,"","",NA,NA,"","","Yes","Field Measurement,Laboratory","Soil,Protective Membrane","21%",6.9,3200,160,800,NA,"Loam",NA,50,1098,"","Raised Beds","100%","100%","New","New","New","New","New","New","Urban Collective Garden","FU"
"14","New York","US","Infrastructure","Raised Beds","","","New","",7,1,58.47,"Wood (new)","",0.6574,"m3","Top soil","",10.396,"m3","Compost (industrial)","",10.396,"m3","","",NA,"","","",NA,"","",NA,NA,"","","Yes","Field Measurement,Laboratory","Soil,Protective Membrane","30%",6.97,800,160,800,NA,"Loam",NA,47,1098,"","Raised Beds","100%","100%","New","New","New","New","New","New","Urban Collective Garden","FU"
